Marca ,Producto,Nombre del Producto,Fotos,Contenido,Precio,Aplicacion,Textura,Uso,Tipo de piel,Libre de crueldad,Vegano,Efecto a largo plazo,Enlaces
Youth to the People,Serum,15% Vitamin C + Clean Caffeine Energy Serum,15VitaminCCleanCaffeineEnergySerum.jpg,30 ml," S/  267,70 ",Dia y Noche,Ligera,Diario,Todo tipo,Si,Si,1 semana,https://osmosisskincare.com.au/products/purify 
Dermalogica,Serum,Age Bright Clearing Serum,AgeBrightClearingSerum.jpg,30 ml," S/  286,00 ",Dia y Noche,Ligera,Diario,Grasa,Si,No,2 semanas,https://www.olay.com/en-us/skin-care-products/regenerist-micro-sculpting-cream-moisturizer?srsltid=AfmBOor3Nyri0ipGPLgeTfsBOy8Xaqkd3TpPg1IRTNbnVY76tB_KwQ0H 
Murad,Exfoliante ,AHA/BHA Exfoliating Cleanser,AHABHAExfoliatingCleanser.png,200ml," S/  279,00 ",Noche,Media,Interdiario,Todo tipo,No,No,2 meses, https://www.my-origines.com/fr/huile-prodigieuse%C2%AE-huile-seche-multi-fonctions-visage-corps-cheveux-P0161X01.html 
AHC,Serum,AHC Aqualuronic Serum,AHCAqualuronicSerum.jpg,30 ml," S/  128,38 ",Dia y Noche,Ligera,Diario,Todo tipo,No,No,3 semanas,https://m.origins.com/product/15346/62427/skincare/treat/mask/clear-improvement/active-charcoal-mask-to-clear-pores?srsltid=AfmBOoqye-2XtamVTDAmHdhUY4XHxxxMLIoQ67QcY75Znc5Z_OVuS27d#/sku/98640
Missha,Protector Solar ,All Around Safe Block Essence SPF 50,AllAroundSafeBlockEssenceSPF50.png,50ml," S/  77,90 ",Noche,Ligera,Diario,Todo tipo,No,No ,1 mes ,https://www.sk-ii.com/product/essence/facial-treatment-essence?srsltid=AfmBOooaLf2eq4KAYphZyVOCRRyOtOZ2AnFuRTKdVoZw1UzfpBYULLKu
Weleda,Limpiador,Almond Soothing Cleansing Lotion,AlmondSoothingCleansingLotion.jpeg,75 ml," S/  95,00 ",Dia y Noche,Espesa,Diario,Sensible,Si,No,2 semanas,https://supergoop.com/products/unseen-sunscreen?srsltid=AfmBOooKunthJTCnYMQqwzarlAuEQOQngxokPIPOF3cdx_Kz7994OUmi
Rare Beauty,Limpiador,Always an Optimist 4 in 1 Mist,AlwaysanOptimist4in1Mist.png,85 ml," S/  189,00 ",Dia y Noche,Ligera ,Diario,Todo tipo,Si,Si,1 a 2 meses,https://aveneperu.com/products/hydrance-aqua-gel-crema-hidratante-50ml?srsltid=AfmBOoopKcph4I9r1y73NUvNSKCyiqhS4eYU0yd--lBE4qZq6SmvIPzw
Grown Alchemist,Serum,Antioxidant+ Intense Moisturising Serum,AntioxidantIntenseMoisturisingSerum.png,30 ml," S/  81,81 ",Dia y Noche,Ligera,Diario,Todo tipo,Si,Si,2 semanas,https://philosophy.com/products/one-step-facial-cleanser
Belif,Serum,Aqua Bomb Hydrating Serum,AquaBombHydratingSerum.jpg,30 ml," S/  143,49 ",Dia y Noche,Ligera,Diario,Todo tipo,Si,Si,1 semana,https://www.renskincare.com/products/glow-and-protect-serum
Osea,Hidratante,Atmosphere Protection Cream,AtmosphereProtectionCream.png,60 ml," S/  203,90 ",Dia y Noche,Ligera,Diario,Todo tipo,Si,Si,3 meses,https://sundayriley.com/products/luna-sleeping-night-oil?srsltid=AfmBOooDCDm1y2UQlzgJFPSQDnejSHJ_-S4lvgfM6RFVdQhQRbesQVdR
Avene,Limpiador,Avene Cleanance Cleansing Gel,AveneCleananceCleansingGel.png,200 ml," S/  83,00 ",Dia y Noche,Ligera,Diario,Sensible,No,No,2 semanas,https://www.sephora.com/product/pumpkin-enzymatic-dermal-resurfacer-P387261
Avene,Hidratante,Avene Hydrance Aqua Ge,AveneHydranceAquaGe.png,50 ml," S/  159,55 ",Dia y Noche,Ligera,Diario,Todo tipo,No,Si,24 horas,https://www.bioderma.pe/nuestros-productos/sebium/gel-moussant?https://www.bioderma.pe/&gad_source=1&gbraid=0AAAAAotMWPOth8z1S3DPXXzF107t7Je2P&gclid=Cj0KCQiAx9q6BhCDARIsACwUxu7Ltd9FtslM1FsEyBEOoYu_q1E-qTrSCCUHltDO-OvnOXNFnQw1REYaApC_EALw_wcB
Bio Oil,Hidratante,Bio Oil Dry Skin Gel,BioOilDrySkinGel.jpg,100 ml," S/  41,20 ",Dia y Noche,Ligera,Diario,Seca,Si,No,3 semanas,https://strivectin.com/sd-advanced-plus-intensive-moisturizer-4oz/328621.html
Biore,Limpiador,Biore Deep Pore Charcoal Cleanser,BioreDeepPoreCharcoalCleanser.png,200 ml," S/  36,50 ",Dia,Ligera,Diario,Grasa,Si,No,1 semana,https://oseamalibu.com/products/atmosphere-protection-cream
Sisley Paris,Mascarilla,Black Rose Cream Mask,BlackRoseCreamMask.png,60 ml," S/  810,00 ",Dia y Noche,Espesa,Interdiario,Madura y seca,No,No,3 meses,https://www.sephora.com/product/sulwhasoo-first-care-activating-serum-ad-P469538
Boscia,Serum,Boscia Sake Hydrating and Brightening Serum,BosciaSakeHydratingandBrighteningSerum.png,30 ml," S/  185,00 ",Dia y Noche,Ligera,Diario,Mixta,Si,Si,2 semanas,https://www.pcaskin.com/products/hyaluronic-acid-boosting-serum?srsltid=AfmBOorOjuJe0AGcpmt5ckaOfpQkenZZbV6vLrctm-lEQn24FOkDDW02
Burt’s Bees,Hidratante,Burt's Bees Daily Face Moisturizer for Sensitive Skin,BurtsBeesDailyFaceMoisturizerforSensitiveSkin.png,53 ml," S/  56,14 ",Dia,Ligera,Diario,Sensible,Si,Si,1 semana,https://www.amazon.com/Perricone-MD-Face-Finishing-Moisturizer/dp/B002KANWU8
SkinCeuticals,Serum,C E Ferulic,CEFerulic.jpg,30 ml," S/  370,00 ",Dia,Ligera,Diario,Seca y normal,No,No,2 meses,https://www.burtsbees.com/product/sensitive-solutions-calming-day-lotion/#01400-00
Purito,Protector solar,Centella Green Level Unscented SPF 50+,CentellaGreenLevelUnscentedSPF50.jpg,60 ml," S/  63,96 ",Dia,Ligera,Diario,Todo tipo,Si,Si,1 mes,https://tataharperskincare.com/products/regenerating-cleanser?srsltid=AfmBOooeMgQixR4GY25LzKkc6Cda67E6Dq_Zdid7EyitEO6VKsiEB1my
Cetaphil,Limpiador,Cetaphil Daily Facial Cleanser,CetaphilDailyFacialCleanser.jpg,591 ml," S/  51,64 ",Dia y Noche,Ligera,Diario,Mixta sensible y grasa,Si,Si,2 semanas,https://www.cerave.pe/cuidado-de-la-piel/limpiadores/limpiador-facial-espumoso
Charlotte Tilbury,Serum,Charlottes Magic Serum Crystal Elixir,CharlottesMagicSerumCrystalElixir.jpg,30 ml," S/  339,00 ",Dia y Noche,Ligera,Diario,Mixta,Si,No,8 semanas,https://www.amazon.com/Alba-Botanica-Hawaiian-Oil-Free-Moisturizer/dp/B00T774S6E?th=1&psc=1
Origins,Mascarilla,Clear Improvement Active Charcoal Mask,ClearImprovementActiveCharcoalMask.png,75 ml," S/  95,16 ",Noche,Espesa,Interdiario,Grasa y mixta,No,No,1 mes,https://www.amazon.com/-/es/Limpiador-Cetaphil-limpiador-combinación-hipoalergénico/dp/B08GYYQ5MB 
Kopari,Hidratante,Coconut Sheer Oil,CoconutSheerOil.jpeg,148 ml," S/  59,92 ",Dia y Noche,Ligera,Diario,Seca,Si,Si,2 semanas,https://www.algenist.com/products/genius-liquid-collagen?srsltid=AfmBOoq03V2ONo5KIu8gmf3DQVSJgd7qzUl24h9ypUeuxKbJXiX01Bi3
Dr. Jart+,Limpiador,Dermaclear™ pH Foam Face Wash,Dermaclear™pHFoamFaceWash.png,120 ml," S/  97,37 ",Dia y Noche,Espesa,Diario,Todo tipo,No,No,2 semanas,https://www.perfumeriasunidas.com/hidratante-moisture-surge-intense-72-hour-lipid-replenishing-hydrator-kpr8010000.html?gad_source=1&gbraid=0AAAAAoh4FLNzmUo0Q7wd6hipcQ3wSppTW&gclid=Cj0KCQiAx9q6BhCDARIsACwUxu43G781LwXI8q9fZvX-8ZJQbnvxY2lmKV1nz6wL9vp1Q0-CGoMIXx4aAgA1EALw_wcB
Arbonne,Limpiador,DermResults Advanced Gel Cleanser,DermResultsAdvancedGelCleanser.png,90 ml," S/  194,74 ",Dia y Noche,Ligera,Diario,Todo tipo,Si,Si,2 semanas,https://www.amazon.com/-/es/vitamina-hialurónico-iluminador-hidratante-desigual/dp/B09ZY8T55Y
Natura Bisse,Mascarilla,Diamond Extreme Mas,DiamondExtremeMas.jpg,75 ml," S/  386,67 ",Dia y Noche,Espesa,Interdiario,Seca y madura,No,No,2 meses,https://www.versoskincare.com/boost/verso-super-facial-serum
Dr. Barbara Sturm,Limpiador,Dr. Barbara Sturm Cleanser,DrBarbaraSturmCleanser.jpg,50 ml," S/  38,71 ",Dia y Noche,Ligera,Diario,Sensible,Si,No,2 semanas,https://en.caudalie.com/p/355C/the-cream-premier-cru-355c.html
Beauty of Joseon,Hidratante,Dynasty Cream,DynastyCream.jpg,50 ml," S/  71,16 ",Dia y Noche,Espesa,Diario,Seca,Si,No,2 semanas,https://www.amazon.com/-/es/Limpiador-avanzado-equilibrado-fragancias-parabenos/dp/B003ZC403S
La Roche-Posay,Limpiador,Effaclar Gel Moussant Purifiant,EffaclarGelMoussantPurifiant.png,200 ml ," S/  85,90 ",Dia y Noche,Ligera,Diario,Grasa y mixta,No,No,1 mes,https://tonymoly.us/products/moisture-boost-cooling-marine-concentrate-serum
Eucerin,Limpiador,Eucerin Advanced Cleansing Body and Face Cleanser,EucerinAdvancedCleansingBodyandFaceCleanser.jpg,500 ml," S/  37,45 ",Dia y Noche,Espesa,Diario,Seca sensible y normal,Si,No,2 semanas,https://www.amazon.com/-/es/Versed-Wash-Out-limpiador-facial/dp/B07TMSHSR1
